Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2012/01/18,7:30p,Golden State Warriors,100.0,New Jersey Nets,107.0,,"12,570",Prudential Center,Wednesday
2012/01/18,7:30p,Phoenix Suns,91.0,New York Knicks,88.0,,"19,763",Madison Square Garden (IV),Wednesday
2012/01/18,8:00p,Portland Trail Blazers,89.0,Atlanta Hawks,92.0,,"13,729",Philips Arena,Wednesday
2012/01/18,8:00p,Detroit Pistons,85.0,Minnesota Timberwolves,93.0,,"15,598",Target Center,Wednesday
2012/01/18,8:00p,Memphis Grizzlies,93.0,New Orleans Hornets,87.0,,"12,045",New Orleans Arena,Wednesday
2012/01/18,10:00p,Indiana Pacers,88.0,Sacramento Kings,92.0,,"14,170",Power Balance Pavilion,Wednesday
2012/01/18,10:30p,Dallas Mavericks,89.0,Los Angeles Clippers,91.0,,"19,252",STAPLES Center,Wednesday
2012/01/19,8:00p,New Orleans Hornets,88.0,Houston Rockets,90.0,OT,"10,845",Toyota Center,Thursday
2012/01/19,8:00p,Los Angeles Lakers,87.0,Miami Heat,98.0,,"20,004",AmericanAirlines Arena,Thursday
2012/01/19,10:30p,Dallas Mavericks,94.0,Utah Jazz,91.0,,"19,911",EnergySolutions Arena,Thursday
2012/01/20,7:00p,Atlanta Hawks,76.0,Philadelphia 76ers,90.0,,"17,724",Wells Fargo Center,Friday
2012/01/20,7:00p,Portland Trail Blazers,94.0,Toronto Raptors,84.0,,"17,537",Air Canada Centre,Friday
2012/01/20,7:00p,Denver Nuggets,108.0,Washington Wizards,104.0,,"14,866",Verizon Center,Friday
2012/01/20,7:30p,Phoenix Suns,79.0,Boston Celtics,71.0,,"18,624",TD Garden,Friday
2012/01/20,7:30p,Chicago Bulls,114.0,Cleveland Cavaliers,75.0,,"17,871",Quicken Loans Arena,Friday
2012/01/20,7:30p,Memphis Grizzlies,98.0,Detroit Pistons,81.0,,"10,255",The Palace of Auburn Hills,Friday
2012/01/20,7:30p,Milwaukee Bucks,100.0,New York Knicks,86.0,,"19,763",Madison Square Garden (IV),Friday
2012/01/20,8:00p,Los Angeles Lakers,80.0,Orlando Magic,92.0,,"18,846",Amway Center,Friday
2012/01/20,8:30p,Sacramento Kings,88.0,San Antonio Spurs,86.0,,"18,581",AT&T Center,Friday
2012/01/20,10:30p,Indiana Pacers,94.0,Golden State Warriors,91.0,,"17,621",Oracle Arena,Friday
2012/01/20,10:30p,Minnesota Timberwolves,101.0,Los Angeles Clippers,98.0,,"19,492",STAPLES Center,Friday
2012/01/21,7:00p,Cleveland Cavaliers,94.0,Atlanta Hawks,121.0,,"15,922",Philips Arena,Saturday
2012/01/21,7:30p,Portland Trail Blazers,91.0,Detroit Pistons,94.0,,"14,456",The Palace of Auburn Hills,Saturday
2012/01/21,7:30p,Philadelphia 76ers,92.0,Miami Heat,113.0,,"19,725",AmericanAirlines Arena,Saturday
2012/01/21,7:30p,Denver Nuggets,119.0,New York Knicks,114.0,2OT,"19,763",Madison Square Garden (IV),Saturday
2012/01/21,8:00p,Charlotte Bobcats,89.0,Chicago Bulls,95.0,,"21,861",United Center,Saturday
