,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
191,"Mon, Jan 16, 2012",8:00p,Oklahoma City Thunder,97,Boston Celtics,88,Box Score,,"18,624",TD Garden,
192,"Mon, Jan 16, 2012",8:00p,Sacramento Kings,86,Minnesota Timberwolves,99,Box Score,,"16,159",Target Center,
193,"Mon, Jan 16, 2012",10:30p,Dallas Mavericks,70,Los Angeles Lakers,73,Box Score,,"18,997",STAPLES Center,
194,"Tue, Jan 17, 2012",7:00p,Golden State Warriors,105,Cleveland Cavaliers,95,Box Score,,"13,056",Quicken Loans Arena,
195,"Tue, Jan 17, 2012",7:00p,Charlotte Bobcats,89,Orlando Magic,96,Box Score,,"18,846",Amway Center,
196,"Tue, Jan 17, 2012",7:30p,San Antonio Spurs,98,Miami Heat,120,Box Score,,"19,600",AmericanAirlines Arena,
197,"Tue, Jan 17, 2012",8:00p,Phoenix Suns,97,Chicago Bulls,118,Box Score,,"21,347",United Center,
198,"Tue, Jan 17, 2012",8:00p,Detroit Pistons,80,Houston Rockets,97,Box Score,,"9,318",Toyota Center,
199,"Tue, Jan 17, 2012",8:00p,Denver Nuggets,105,Milwaukee Bucks,95,Box Score,,"11,322",Bradley Center,
200,"Tue, Jan 17, 2012",9:00p,Los Angeles Clippers,79,Utah Jazz,108,Box Score,,"19,371",EnergySolutions Arena,
201,"Wed, Jan 18, 2012",7:00p,San Antonio Spurs,85,Orlando Magic,83,Box Score,OT,"18,846",Amway Center,
202,"Wed, Jan 18, 2012",7:00p,Denver Nuggets,108,Philadelphia 76ers,104,Box Score,OT,"15,201",Wells Fargo Center,
203,"Wed, Jan 18, 2012",7:00p,Oklahoma City Thunder,102,Washington Wizards,105,Box Score,,"15,075",Verizon Center,
204,"Wed, Jan 18, 2012",7:30p,Toronto Raptors,73,Boston Celtics,96,Box Score,,"18,624",TD Garden,
205,"Wed, Jan 18, 2012",7:30p,Golden State Warriors,100,New Jersey Nets,107,Box Score,,"12,570",Prudential Center,
